"metro_area"	"living"	"poverty"
"Toledo, OH"	30430.4	12875.2
"Youngstown-Warren-Boardman, OH"	30680	12875.2
"Enid, OK"	31012.8	12875.2
"Lawton, OK"	31220.8	12875.2
"Oklahoma City, OK"	33134.4	12875.2
"Tulsa, OK"	31740.8	12875.2
"Albany, OR"	36358.4	12875.2
"Bend-Redmond, OR"	37211.2	12875.2
"Corvallis, OR"	38500.8	12875.2
"Eugene, OR"	36316.8	12875.2
"Grants Pass, OR"	36732.8	12875.2
"Medford, OR"	35318.4	12875.2
"Portland-Vancouver-Hillsboro, OR"	43347.2	12875.2
"Salem, OR"	36420.8	12875.2
"Allentown-Bethlehem-Easton, PA"	34756.8	12875.2
"Altoona, PA"	31387.2	12875.2
"Bloomsburg-Berwick, PA"	33155.2	12875.2
"Chambersburg-Waynesboro, PA"	32448	12875.2
"East Stroudsburg, PA"	35006.4	12875.2
"Erie, PA"	32115.2	12875.2
"Gettysburg, PA"	33155.2	12875.2
"Harrisburg-Carlisle, PA"	32510.4	12875.2
"Johnstown, PA"	30659.2	12875.2
"Lancaster, PA"	32968	12875.2
"Lebanon, PA"	33363.2	12875.2
"Philadelphia-Camden-Wilmington, PA"	36108.8	12875.2
"Pittsburgh, PA"	33321.6	12875.2
"Reading, PA"	32177.6	12875.2
"Scranton--Wilkes-Barre--Hazleton, PA"	31616	12875.2
"State College, PA"	35588.8	12875.2
"Williamsport, PA"	32968	12875.2
"York-Hanover, PA"	32323.2	12875.2
"Providence-Warwick, RI"	36004.8	12875.2
"Charleston-North Charleston, SC"	39145.6	12875.2
"Columbia, SC"	35609.6	12875.2
"Florence, SC"	32822.4	12875.2
"Greenville-Anderson-Mauldin, SC"	34569.6	12875.2
"Hilton Head Island-Bluffton-Beaufort, SC"	39166.4	12875.2
"Myrtle Beach-Conway-North Myrtle Beach, SC"	34944	12875.2
"Spartanburg, SC"	35235.2	12875.2
"Sumter, SC"	31470.4	12875.2
"Rapid City, SD"	30929.6	12875.2
"Sioux Falls, SD"	31324.8	12875.2
"Chattanooga, TN"	30472	12875.2
"Clarksville, TN"	29286.4	12875.2
"Cleveland, TN"	29078.4	12875.2
"Jackson, TN"	27040	12875.2
"Johnson City, TN"	30222.4	12875.2
"Kingsport-Bristol-Bristol, TN"	28766.4	12875.2
"Knoxville, TN"	30222.4	12875.2
"Memphis, TN"	31116.8	12875.2
"Morristown, TN"	28225.6	12875.2
"Nashville-Davidson--Murfreesboro--Franklin, TN"	35318.4	12875.2
"Abilene, TX"	31408	12875.2
"Amarillo, TX"	30326.4	12875.2
"Austin-Round Rock, TX"	36316.8	12875.2
"Beaumont-Port Arthur, TX"	31033.6	12875.2
"Brownsville-Harlingen, TX"	29723.2	12875.2
"College Station-Bryan, TX"	31116.8	12875.2
"Corpus Christi, TX"	33030.4	12875.2
"Dallas-Fort Worth-Arlington, TX"	35422.4	12875.2
"El Paso, TX"	29182.4	12875.2
"Houston-The Woodlands-Sugar Land, TX"	34091.2	12875.2
"Killeen-Temple, TX"	30388.8	12875.2
"Laredo, TX"	31720	12875.2
"Longview, TX"	27851.2	12875.2
"Lubbock, TX"	30409.6	12875.2
"McAllen-Edinburg-Mission, TX"	29494.4	12875.2
"Midland, TX"	36940.8	12875.2
"Odessa, TX"	33196.8	12875.2
"San Angelo, TX"	30472	12875.2
"San Antonio-New Braunfels, TX"	32094.4	12875.2
"Sherman-Denison, TX"	30763.2	12875.2
"Texarkana, TX"	30388.8	12875.2
"Tyler, TX"	34049.6	12875.2
"Victoria, TX"	31636.8	12875.2
"Waco, TX"	30992	12875.2
"Wichita Falls, TX"	29702.4	12875.2
"Logan, UT"	30950.4	12875.2
"Ogden-Clearfield, UT"	33779.2	12875.2
"Provo-Orem, UT"	34798.4	12875.2
"St. George, UT"	34424	12875.2
"Salt Lake City, UT"	35464	12875.2
"Burlington-South Burlington, VT"	39540.8	12875.2
"Blacksburg-Christiansburg-Radford, VA"	35068.8	12875.2
"Charlottesville, VA"	38168	12875.2
"Harrisonburg, VA"	33779.2	12875.2
"Lynchburg, VA"	32780.8	12875.2
"Richmond, VA"	38438.4	12875.2
"Roanoke, VA"	29848	12875.2
"Staunton-Waynesboro, VA"	33633.6	12875.2
"Virginia Beach-Norfolk-Newport News, VA"	37336	12875.2
"Winchester, VA"	35484.8	12875.2
"Bellingham, WA"	34216	12875.2
"Bremerton-Silverdale, WA"	35193.6	12875.2
"Kennewick-Richland, WA"	31033.6	12875.2
"Longview, WA"	31012.8	12875.2
"Mount Vernon-Anacortes, WA"	33280	12875.2
"Olympia-Tumwater, WA"	35817.6	12875.2
"Seattle-Tacoma-Bellevue, WA"	41204.8	12875.2
"Spokane-Spokane Valley, WA"	31075.2	12875.2
"Walla Walla, WA"	32364.8	12875.2
"Wenatchee, WA"	31803.2	12875.2
"Yakima, WA"	31636.8	12875.2
"Beckley, WV"	31033.6	12875.2
"Charleston, WV"	29078.4	12875.2
"Huntington-Ashland, WV"	30971.2	12875.2
"Morgantown, WV"	33259.2	12875.2
"Parkersburg-Vienna, WV"	31699.2	12875.2
"Weirton-Steubenville, WV"	30326.4	12875.2
"Wheeling, WV"	30888	12875.2
"Appleton, WI"	32718.4	12875.2
"Eau Claire, WI"	32448	12875.2
"Fond du Lac, WI"	32572.8	12875.2
"Green Bay, WI"	33113.6	12875.2
"Janesville-Beloit, WI"	33592	12875.2
"La Crosse-Onalaska, WI"	32489.6	12875.2
"Madison, WI"	36441.6	12875.2
"Milwaukee-Waukesha-West Allis, WI"	33779.2	12875.2
"Oshkosh-Neenah, WI"	31782.4	12875.2
"Racine, WI"	32801.6	12875.2
"Sheboygan, WI"	31865.6	12875.2
"Wausau, WI"	30534.4	12875.2
"Casper, WY"	30097.6	12875.2
"Cheyenne, WY"	31491.2	12875.2
