"RespondentId"	"student_type"	"department"	"tuition_covered"	"stipend_type"	"contract_position"	"funding_source"	"contract_term"	"stipend_amt"	"addtl_funding"	"addtl_amt"	"total_funding"	"Program"	"Level"	"College"	"dist"	"program_type"
"72"	96300238	"Doctorate"	"Criminology and Criminal Justice"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	18000	"No"	0	18000	"Criminology and Criminal Justice"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"73"	96309661	"Doctorate"	"Criminology and Criminal Justice"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	20000	"No"	0	20000	"Criminology and Criminal Justice"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"74"	96318403	"Doctorate"	"Criminology and Criminal Justice"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	18000	"Yes"	4000	22000	"Criminology and Criminal Justice"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"75"	96346202	"Doctorate"	"Criminology and Criminal Justice"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	18000	"Yes"	4000	22000	"Criminology and Criminal Justice"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"76"	96302057	"Doctorate"	"Criminology and criminal Justice "	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	18000	"Yes"	4000	22000	"Criminology and Criminal Justice"	"Doctorate"	"Arts and Sciences"	0.105887504072988	"Social Science"
"77"	96303456	"Doctorate"	"DMA in Music Performance "	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	7000	"No"	0	7000	"Music Performance"	"Doctorate"	"Music"	0.243921568627451	"Humanities"
"78"	96301027	"Doctorate"	"Economics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	2200	"No"	0	2200	"Economics"	"Doctorate"	"Business"	0	"Social Science"
"79"	96301544	"Doctorate"	"Economics"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	23000	"No"	0	23000	"Economics"	"Doctorate"	"Business"	0	"Social Science"
"80"	96330288	"Doctorate"	"Economics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	23000	"No"	0	23000	"Economics"	"Doctorate"	"Business"	0	"Social Science"
"81"	96346322	"Doctorate"	"Economics"	"Yes"	"Yes"	"Other"	"Internal (within USC)"	"12-month"	23000	"No"	0	23000	"Economics"	"Doctorate"	"Business"	0	"Social Science"
"82"	96346324	"Doctorate"	"Economics"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	23000	"No"	0	23000	"Economics"	"Doctorate"	"Business"	0	"Social Science"
"83"	96300269	"Doctorate"	"electrical engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	24000	"No"	0	24000	"Electrical Engineering"	"Doctorate"	"Engineering and Computing"	0.118939393939394	"Engineering"
"84"	96300364	"Doctorate"	"Electrical Engineering Department"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	27600	"No"	0	27600	"Electrical Engineering"	"Doctorate"	"Engineering and Computing"	0.111111111111111	"Engineering"
"85"	96300567	"Doctorate"	"English"	"Yes"	"Yes"	"Instructor of Record"	"Internal (within USC)"	"9-month"	14800	"No"	0	14800	"English"	"Doctorate"	"Arts and Sciences"	0	"Humanities"
"86"	96300570	"Doctorate"	"English"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	14800	"No"	0	14800	"English"	"Doctorate"	"Arts and Sciences"	0	"Humanities"
"87"	96301250	"Doctorate"	"English"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	14800	"Yes"	3000	17800	"English"	"Doctorate"	"Arts and Sciences"	0	"Humanities"
"88"	96304234	"Doctorate"	"English (Literature)"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	14800	"No"	0	14800	"English"	"Doctorate"	"Arts and Sciences"	0.216666666666667	"Humanities"
"89"	96300115	"Doctorate"	"English Department"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	14800	"No"	0	14800	"English"	"Doctorate"	"Arts and Sciences"	0.203703703703704	"Humanities"
"90"	96321052	"Doctorate"	"English Department"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	14800	"Yes"	4000	18800	"English"	"Doctorate"	"Arts and Sciences"	0.203703703703704	"Humanities"
"91"	96300028	"Doctorate"	"Environmental Health Sciences"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	7500	"No"	0	7500	"Environmental Health Sciences"	"Doctorate"	"Public Health"	0	"Natural Science"
"92"	96300191	"Doctorate"	"Environmental Health Sciences"	"Partially"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	11000	"No"	0	11000	"Environmental Health Sciences"	"Doctorate"	"Public Health"	0	"Natural Science"
"93"	96302037	"Doctorate"	"Environmental Health Sciences"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	20000	"No"	0	20000	"Environmental Health Sciences"	"Doctorate"	"Public Health"	0	"Natural Science"
"94"	96319638	"Doctorate"	"Environmental Health Sciences"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"Semester-based"	20000	"Yes"	0	20000	"Environmental Health Sciences"	"Doctorate"	"Public Health"	0	"Natural Science"
"95"	96302379	"Doctorate"	"Epidemiology"	"Partially"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	13000	"Yes"	10000	23000	"Epidemiology"	"Doctorate"	"Public Health"	0	"Natural Science"
"96"	96302132	"Doctorate"	"Epidemiology and Biostatistics"	"Partially"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	13000	"Yes"	10000	23000	"Epidemiology"	"Doctorate"	"Public Health"	0.2	"Natural Science"
"97"	96304217	"Doctorate"	"Epidemiology and Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	13000	"Yes"	20000	33000	"Epidemiology"	"Doctorate"	"Public Health"	0.2	"Natural Science"
"98"	96347105	"Doctorate"	"Epidemiology and Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	20000	"No"	0	20000	"Epidemiology"	"Doctorate"	"Public Health"	0.2	"Natural Science"
"99"	96300258	"Doctorate"	"Exercise science"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"12-month"	24500	"No"	0	24500	"Exercise Science"	"Doctorate"	"Public Health"	0.0416666666666667	"Natural Science"
"100"	96302070	"Doctorate"	"Exercise science"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	24000	"No"	0	24000	"Exercise Science"	"Doctorate"	"Public Health"	0.0416666666666667	"Natural Science"
"101"	96299925	"Doctorate"	"Exercise Science"	"Partially"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	20000	"Yes"	0	20000	"Exercise Science"	"Doctorate"	"Public Health"	0	"Natural Science"
